primary_mood,primary_mood_weight,secondary_mood,secondary_mood_weight,introspection,temper,attitude,sensitivity,News_ID
enthusiasm,0.8454999999999999,ecstasy,0.5061,0.8270000000000001,0.0,0.779,0.9390000000000001,N16696
grief,0.9606,loathing,0.4879,-0.977,0.0,-0.821,0.0,N7704
enthusiasm,0.6576000000000001,,,0.0,0.0,0.0,0.877,N13652
grief,0.9045000000000001,,,-0.9584999999999999,0.0,-0.789,-0.995,N40429
bliss,0.6697,pleasantness,0.8848,0.0,0.8809999999999999,0.622,0.0,N751
ecstasy,0.8576,enthusiasm,0.7303000000000001,0.943,0.449,0.8933,0.9009999999999999,N57632
ecstasy,0.4648,pleasantness,0.8731,0.8134,0.209,0.6181,0.0,N38303
grief,0.9727,terror,0.6561,-0.981,0.0,-0.7775,-0.8765000000000001,N6046
ecstasy,0.7848,delight,0.4485,0.919,0.6465000000000001,0.8079999999999999,0.0,N28209
enthusiasm,0.5,delight,0.3273,0.0,0.0,0.768,0.825,N63667
annoyance,0.8787999999999999,,,0.0,-0.29,0.0,0.0,N39498
pleasantness,0.9538,contentment,0.7424,0.245,0.0,0.6448,0.0,N21344
grief,0.6901999999999999,fear,0.8697,-0.8878,0.0,-0.6169,-0.617,N41757
grief,0.2545,,,-0.7440000000000001,0.0,-0.6175,-0.997,N33559
ecstasy,0.9120999999999999,delight,0.3273,0.961,0.0,0.768,0.0,N38838
ecstasy,0.603,responsiveness,0.9848,0.8590000000000001,0.25,0.10099999999999999,0.325,N51315
ecstasy,0.75,calmness,0.5152,0.9075,0.5,0.4285,0.0,N39422
rage,0.3121,disgust,0.14550000000000002,-0.264,-0.763,-0.37799999999999995,0.0,N51294
ecstasy,0.9879000000000001,calmness,0.5758,0.986,0.52,0.142,0.0,N41938
calmness,0.9076000000000001,joy,0.8120999999999999,0.598,0.6295000000000001,0.4413,0.0,N18280
sadness,0.703,,,-0.562,0.0,0.0,0.0,N54006
terror,0.5697,loathing,0.49090000000000006,0.0,0.0,-0.8220000000000001,-0.848,N42355
sadness,0.6909000000000001,fear,0.37579999999999997,-0.5579999999999999,0.0,0.0,-0.45399999999999996,N63139
pleasantness,0.6788,calmness,0.5772999999999999,0.0,0.5205,0.5539999999999999,0.0,N237
disgust,0.5485,,,0.0,0.0,-0.511,0.0,N38223
serenity,0.903,acceptance,0.6424,0.0,0.298,0.212,0.205,N29912
ecstasy,0.7545000000000001,delight,0.48479999999999995,0.909,0.0,0.82,0.0,N59476
sadness,0.7848,fear,0.5485,-0.589,-0.498,0.0,-0.511,N55838
ecstasy,0.8902,delight,0.3644,0.9538,0.0,0.7803,0.0,N4535
grief,0.7258,loathing,0.4303,-0.8995000000000001,0.0,-0.802,0.0,N16760
rage,0.6545000000000001,sadness,0.2606,-0.41600000000000004,-0.8759999999999999,-0.222,0.0,N13084
ecstasy,0.5,calmness,0.1258,0.825,0.3715,0.1255,0.0,N17308
loathing,0.4303,grief,0.1697,-0.716,0.0,-0.802,-0.45,N21976
ecstasy,0.5924,delight,0.303,0.8554999999999999,0.0,0.76,0.0,N58638
loathing,0.3788,grief,0.0788,-0.6859999999999999,0.0,-0.785,0.0,N37471
grief,0.5265,loathing,0.3576,-0.8338,0.0,-0.778,-0.6409999999999999,N44195
enthusiasm,0.9364,pleasantness,0.9455,0.0,0.0,0.642,0.9690000000000001,N7363
grief,0.5788,loathing,0.2879,-0.851,-0.301,-0.755,0.0,N56290
terror,0.9727,disgust,0.6061,0.0,0.0,-0.53,-0.981,N30593
ecstasy,0.9333,pleasantness,0.3591,0.968,0.32299999999999995,0.4485,0.0,N20001
,,,,,,,,N13607
dislike,0.9591,melancholy,0.5424,-0.179,0.0,-0.3165,0.0,N17931
acceptance,0.9484999999999999,serenity,0.8288,0.0,0.2735,0.313,0.0,N10167
enthusiasm,0.9242,delight,0.3152,0.0,0.0,0.764,0.965,N29584
loathing,0.8576,fear,0.5273,0.0,-0.457,-0.943,-0.504,N18278
ecstasy,0.7931999999999999,enthusiasm,0.4576,0.9218000000000001,0.17600000000000002,0.586,0.8109999999999999,N49631
ecstasy,0.6455,calmness,0.8212,0.873,0.601,0.4818,0.0,N41680
terror,0.8454999999999999,loathing,0.3697,0.0,-0.57,-0.782,-0.9390000000000001,N49325
delight,0.1485,eagerness,0.997,0.608,0.0,0.7090000000000001,0.659,N30901
anger,0.7545000000000001,,,0.0,-0.579,0.0,0.0,N41433
enthusiasm,0.8273,ecstasy,0.6894,0.8875,0.0,0.772,0.9329999999999999,N41602
joy,0.7515000000000001,acceptance,0.2758,0.578,0.0,0.091,0.0,N22500
enthusiasm,0.4667,ecstasy,0.3152,0.764,0.0,0.659,0.8140000000000001,N54732
bliss,0.9303,joy,0.997,0.659,0.9670000000000001,0.0,0.659,N58647
ecstasy,0.8909,enthusiasm,0.5242,0.9540000000000001,0.485,0.3074,0.833,N38386
terror,0.7909,loathing,0.2545,0.0,0.0,-0.7440000000000001,-0.9209999999999999,N39177
ecstasy,0.8848,delight,0.4121,0.9520000000000001,0.0,0.7959999999999999,0.0,N48224
loathing,0.397,grief,0.3258,-0.7675,0.0,-0.7909999999999999,-0.45399999999999996,N7449
joy,0.7742,pleasantness,0.3061,0.5855,0.0,0.431,0.295,N51273
grief,0.6909000000000001,loathing,0.1242,-0.888,0.0,-0.701,0.0,N28328
enthusiasm,0.9636,ecstasy,0.8197,0.9305,0.0,0.7845,0.978,N35267
,,,,,,,,N33993
terror,0.7394,loathing,0.3061,-0.574,0.0,-0.7609999999999999,-0.904,N5753
grief,0.6121,disgust,0.9333,-0.862,-0.424,-0.638,-0.371,N11733
grief,0.9348000000000001,loathing,0.4879,-0.9684999999999999,-0.315,-0.821,0.0,N10301
anger,0.7818,fear,0.7696999999999999,0.0,-0.588,0.0,-0.584,N7965
ecstasy,0.9120999999999999,,,0.961,0.0,0.0,0.0,N45506
grief,0.5515,loathing,0.3394,-0.8420000000000001,0.0,-0.772,0.0,N19796
ecstasy,0.7254,enthusiasm,0.6856,0.8994,0.0,0.7773,0.8863,N16272
ecstasy,0.9818000000000001,enthusiasm,0.42729999999999996,0.9840000000000001,0.0,0.784,0.8009999999999999,N57034
pleasantness,0.7091,calmness,0.0348,0.0,0.34149999999999997,0.564,0.0,N39173
bliss,0.7379000000000001,ecstasy,0.6424,0.872,0.9035,0.7809999999999999,0.0,N54038
enthusiasm,0.8484999999999999,delight,0.4,0.0,0.5870000000000001,0.792,0.94,N43289
ecstasy,0.5697,enthusiasm,0.503,0.848,0.2005,0.2713,0.826,N60873
bliss,0.4485,ecstasy,0.3455,0.774,0.8079999999999999,0.5195000000000001,0.0,N60292
grief,0.85,terror,0.503,-0.9405,0.0,-0.785,-0.826,N33125
serenity,0.9015000000000001,,,0.0,0.2975,0.102,0.997,N3235
ecstasy,0.8212,calmness,0.7561,0.9309999999999999,0.5795,0.47450000000000003,0.0,N50932
grief,0.8273,rage,0.42119999999999996,-0.9329999999999999,-0.799,0.0,0.0,N34068
eagerness,0.6152000000000001,,,0.0,0.0,0.0,0.5329999999999999,N21520
ecstasy,0.8364,delight,0.38939999999999997,0.9359999999999999,0.0,0.7885,0.659,N51869
,,,,,,,,N9507
ecstasy,0.7773,delight,0.6870999999999999,0.9165000000000001,0.0,0.8868,0.0,N30966
ecstasy,0.6212,calmness,0.997,0.865,0.659,0.0,0.0,N29482
ecstasy,0.7045,delight,0.4121,0.8925,0.0,0.7959999999999999,0.0,N35332
dislike,0.5379,,,0.0,0.0,-0.1775,0.0,N49895
anger,0.5,disgust,0.0636,0.0,-0.495,-0.35100000000000003,0.0,N58335
ecstasy,0.3379,delight,0.2758,0.7715000000000001,0.0,0.7509999999999999,0.0,N33471
loathing,0.3061,sadness,0.7394,-0.574,0.0,-0.7609999999999999,-0.1065,N24585
ecstasy,0.9061,enthusiasm,0.2727,0.9590000000000001,0.0,0.0,0.75,N58875
ecstasy,0.4303,eagerness,0.85,0.802,0.0,0.4127,0.6104999999999999,N17022
enthusiasm,0.8090999999999999,delight,0.3848,0.0,0.0,0.787,0.927,N25436
grief,0.503,loathing,0.303,-0.826,0.0,-0.76,-0.6025,N14701
enthusiasm,0.7152,delight,0.2848,0.0,0.0,0.754,0.8959999999999999,N10132
enthusiasm,0.6879000000000001,ecstasy,0.5697,0.848,0.0,0.7134999999999999,0.887,N7192
,,,,,,,,N21455
loathing,0.3818,melancholy,0.0545,-0.018000000000000002,0.0,-0.7859999999999999,0.0,N21435
ecstasy,0.7242000000000001,delight,0.4485,0.899,0.282,0.8079999999999999,0.0,N64877
grief,0.9606,terror,0.7742,-0.977,0.0,-0.7825,-0.9155,N35109
loathing,0.5529999999999999,terror,0.32799999999999996,0.0,-0.738,-0.8425,-0.7683,N26766
ecstasy,0.55,delight,0.3318,0.8415,0.0,0.7695000000000001,0.0,N31366
delight,0.2864,serenity,0.6879000000000001,0.0,0.22699999999999998,0.7545000000000001,0.0,N27913
dislike,0.9727,,,0.0,0.0,-0.321,0.0,N64864
anger,0.8985,,,0.0,-0.6265,0.0,0.0,N39793
enthusiasm,0.8029999999999999,ecstasy,0.5424,0.8390000000000001,0.0,0.8172,0.925,N12089
enthusiasm,0.9484999999999999,ecstasy,0.8120999999999999,0.9279999999999999,0.759,0.7525,0.973,N13557
sadness,0.8667,fear,0.3273,-0.616,0.0,0.0,-0.43799999999999994,N49178
ecstasy,0.8273,enthusiasm,0.2545,0.9329999999999999,0.0,0.0,0.7440000000000001,N48090
terror,0.753,loathing,0.3682,-0.7605,0.0,-0.7815000000000001,-0.9085,N37659
pleasantness,0.6681999999999999,serenity,0.5515,0.0,0.182,0.5505,0.0,N37024
ecstasy,0.5758,calmness,0.7515000000000001,0.85,0.578,0.0,0.0,N27678
enthusiasm,0.5636,ecstasy,0.4303,0.802,0.0,0.0,0.846,N5449
rage,0.8545,grief,0.7909,-0.9209999999999999,-0.9420000000000001,-0.5218,0.0,N32491
,,,,,,,,N37572
fear,0.597,,,0.0,0.0,0.0,-0.527,N25537
calmness,0.5121,pleasantness,0.4364,0.4715,0.499,0.474,0.0,N25340
ecstasy,0.7508,delight,0.3917,0.9078,0.22699999999999998,0.7893000000000001,0.0,N191
pleasantness,0.5303,serenity,0.9152,0.0,0.302,0.505,0.0,N7362
bliss,0.48479999999999995,joy,0.6697,0.551,0.82,0.374,0.0,N3442
ecstasy,0.6273,,,0.867,0.0,0.0,0.0,N57602
enthusiasm,0.603,delight,0.33640000000000003,0.0,0.0,0.7709999999999999,0.8590000000000001,N19130
sadness,0.703,,,-0.562,0.0,0.0,0.0,N59335
grief,0.9909,loathing,0.2606,-0.987,0.0,-0.746,0.0,N47087
bliss,0.8576,enthusiasm,0.7515000000000001,0.0,0.943,0.755,0.9079999999999999,N52135
ecstasy,0.6515000000000001,enthusiasm,0.0682,0.875,0.0,0.659,0.6825,N65009
grief,0.6697,,,-0.8809999999999999,0.0,0.0,0.0,N42613
grief,0.747,disgust,0.37579999999999997,-0.9065000000000001,-0.307,-0.45399999999999996,0.0,N17513
ecstasy,0.8181999999999999,enthusiasm,0.2667,0.93,0.0,0.6378,0.748,N23093
ecstasy,0.5394,,,0.838,0.306,0.6058,0.995,N34383
ecstasy,0.5636,enthusiasm,0.3394,0.846,0.4395,0.4515,0.772,N35510
ecstasy,0.6273,serenity,0.9727,0.867,0.321,0.139,0.0,N64810
loathing,0.5606,,,0.0,0.0,-0.845,0.0,N38341
ecstasy,0.7091,enthusiasm,0.49700000000000005,0.894,0.298,0.2325,0.8240000000000001,N18178
bliss,0.9212,ecstasy,0.8151999999999999,0.929,0.9640000000000001,0.7775,0.32899999999999996,N57229
ecstasy,0.7818,enthusiasm,0.48479999999999995,0.9179999999999999,0.0,0.76,0.82,N56598
terror,0.6758,grief,0.5212,-0.8320000000000001,0.0,-0.79,-0.883,N19467
loathing,0.3333,grief,0.0864,-0.6884999999999999,0.0,-0.77,0.0,N26841
ecstasy,0.8462000000000001,pleasantness,0.8879,0.9393,0.0,0.623,0.0,N61428
loathing,0.3379,grief,0.18789999999999998,-0.722,0.0,-0.7715000000000001,-0.6509999999999999,N18857
enthusiasm,0.8242,delight,0.2576,0.0,0.0,0.745,0.932,N30252
grief,0.7454999999999999,loathing,0.3,-0.9059999999999999,0.0,-0.759,-0.617,N63827
ecstasy,0.7288,enthusiasm,0.6939,0.9005,0.0,0.7985,0.889,N20925
sadness,0.5212,fear,0.4788,-0.502,0.0,0.0,-0.488,N14102
joy,0.997,,,0.659,0.0,0.0,0.0,N45178
enthusiasm,0.7121,delight,0.586,0.841,0.0,0.8534,0.895,N12261
bliss,0.3515,ecstasy,0.17579999999999998,0.718,0.7759999999999999,0.0,0.0,N25395
grief,0.9470000000000001,loathing,0.303,-0.9725,-0.32799999999999996,-0.76,0.0,N10070
,,,,0.0,0.0,0.9990000000000001,0.0,N61455
ecstasy,0.1833,calmness,0.41359999999999997,0.7204999999999999,0.46649999999999997,0.16399999999999998,0.0,N48775
grief,0.7121,loathing,0.2682,-0.895,0.0,-0.7484999999999999,0.0,N1670
grief,0.9667,disgust,0.6273,-0.9790000000000001,0.0,-0.537,0.0,N23939
contentment,0.7879,acceptance,0.2606,0.26,0.0,0.086,0.0,N61924
ecstasy,0.997,enthusiasm,0.42729999999999996,0.9890000000000001,0.0,0.0,0.8009999999999999,N35904
enthusiasm,0.5697,pleasantness,0.9606,0.6135,0.0,0.647,0.848,N36172
loathing,0.7537999999999999,grief,0.1379,-0.7055,-0.49,-0.9087999999999999,-0.45399999999999996,N4591
ecstasy,0.9152,bliss,0.397,0.9620000000000001,0.7909999999999999,0.7509999999999999,0.0,N3042
acceptance,0.997,,,0.0,0.0,0.32899999999999996,0.0,N51827
enthusiasm,0.7985,delight,0.3136,0.5545,0.0,0.7635,0.9235,N58111
disgust,0.997,sadness,0.9545,-0.645,0.0,-0.659,0.0,N13734
enthusiasm,0.7696999999999999,pleasantness,0.9568000000000001,0.5415,0.298,0.6457999999999999,0.914,N9848
,,,,,,,,N34355
ecstasy,0.6663,delight,0.1943,0.8798999999999999,0.0,0.7241,0.0,N25760
ecstasy,0.6727,bliss,0.4606,0.882,0.812,0.0,0.0,N7169
ecstasy,0.8636,delight,0.2545,0.945,0.0,0.7440000000000001,0.0,N34245
ecstasy,0.7106,delight,0.3667,0.8945000000000001,0.499,0.7809999999999999,0.0,N6965
ecstasy,0.7667,delight,0.2909,0.9129999999999999,0.0,0.7559999999999999,0.0,N41651
annoyance,0.7212000000000001,dislike,0.3061,0.0,-0.23800000000000002,-0.10099999999999999,0.0,N54526
grief,0.3439,terror,0.3394,-0.7735,0.0,0.0,-0.772,N4482
enthusiasm,0.5242,delight,0.39390000000000003,0.0,0.0,0.79,0.833,N39735
ecstasy,0.9545,delight,0.3848,0.975,0.0,0.787,0.0,N34093
ecstasy,0.6273,serenity,0.7091,0.867,0.23399999999999999,0.142,0.0,N41416
enthusiasm,0.7303000000000001,delight,0.5814,0.0,0.0,0.8519,0.9009999999999999,N63034
sadness,0.6681999999999999,disgust,0.3667,-0.5505,0.0,-0.451,0.0,N57408
ecstasy,0.9288,enthusiasm,0.4576,0.9665,0.0,0.716,0.8109999999999999,N46889
joy,1.0,,,0.66,0.0,0.0,0.0,N50288
rage,0.9758,fear,0.853,-0.58,-0.982,0.0,-0.6114999999999999,N47356
ecstasy,0.5333,enthusiasm,0.44549999999999995,0.836,0.0,0.32899999999999996,0.807,N64200
ecstasy,0.5394,calmness,0.4576,0.838,0.48100000000000004,0.0,0.0,N61947
ecstasy,0.6364,eagerness,0.4576,0.87,0.0,0.0,0.48100000000000004,N56370
terror,0.9727,loathing,0.5091,-0.826,0.0,-0.828,-0.981,N56487
grief,0.8212,loathing,0.3667,-0.9309999999999999,0.0,-0.7809999999999999,0.0,N58961
melancholy,0.7515000000000001,dislike,0.2727,-0.248,0.0,-0.09,0.0,N14859
ecstasy,0.2341,acceptance,0.8773000000000001,0.7372,0.268,0.2895,0.0,N24995
sadness,0.703,,,-0.562,0.0,0.0,0.0,N31522
,,,,,,,,N58659
,,,,,,,,N49676
,,,,,,,,N57386
annoyance,0.6727,dislike,0.48479999999999995,0.0,-0.222,-0.16,0.0,N37100
contentment,0.7879,serenity,0.4182,0.26,0.138,0.0,0.0,N23012
eagerness,0.997,acceptance,0.997,0.0,0.0,0.32899999999999996,0.659,N36344
enthusiasm,0.7864,ecstasy,0.6242,0.866,0.745,0.8155,0.9195,N37540
enthusiasm,0.6545000000000001,ecstasy,0.5561,0.8434999999999999,0.812,0.7805,0.8759999999999999,N40116
delight,0.5667,,,0.0,0.0,0.847,0.0,N58384
terror,0.6606000000000001,,,0.0,0.0,0.0,-0.878,N24579
terror,0.6212,grief,0.6121,-0.862,0.0,0.0,-0.865,N26746
enthusiasm,0.8454999999999999,,,0.9940000000000001,0.0,0.774,0.9390000000000001,N2940
ecstasy,0.5772999999999999,enthusiasm,0.4545,0.8504999999999999,0.0,0.8058,0.81,N27018
ecstasy,0.7318000000000001,pleasantness,0.8803,0.9015000000000001,0.32799999999999996,0.6204999999999999,0.0,N22434
grief,0.6712,loathing,0.3455,-0.8815000000000001,0.0,-0.774,-0.57,N57532
ecstasy,0.7152,bliss,0.4576,0.8959999999999999,0.8109999999999999,0.0,0.0,N16097
terror,0.897,loathing,0.36060000000000003,-0.574,0.0,-0.779,-0.956,N48834
disgust,0.7576,,,0.0,0.0,-0.58,0.0,N5650
grief,0.7606,loathing,0.4818,-0.9109999999999999,0.0,-0.8190000000000001,0.0,N25545
sadness,0.8484999999999999,disgust,0.5,-0.61,0.0,-0.495,0.0,N54795
ecstasy,0.6364,pleasantness,0.4803,0.87,0.23800000000000002,0.4885,0.0,N58236
anxiety,0.8303,,,0.0,0.0,0.0,-0.27399999999999997,N51116
sadness,0.6091,fear,0.4576,-0.531,0.0,0.0,-0.48100000000000004,N13874
grief,0.7848,loathing,0.0424,-0.919,0.0,-0.674,0.0,N34846
ecstasy,0.9636,bliss,0.3,0.978,0.759,0.0,0.196,N18648
anger,0.5515,,,-0.992,-0.512,0.0,0.0,N24805
joy,0.7879,pleasantness,0.35,0.59,0.0,0.44549999999999995,0.0,N1880
ecstasy,0.8151999999999999,delight,0.1833,0.929,0.0,0.7204999999999999,0.0,N733
grief,0.9455,loathing,0.2758,-0.972,0.0,-0.7509999999999999,0.0,N43149
grief,0.9303,disgust,0.6347999999999999,-0.9670000000000001,0.0,-0.5395,0.0,N60337
anxiety,0.6515000000000001,,,0.0,0.0,0.0,-0.215,N54614
eagerness,0.6712,pleasantness,0.36060000000000003,0.0,0.0,0.449,0.5515,N58052
loathing,0.5121,anxiety,0.997,0.0,0.0,-0.8290000000000001,-0.32899999999999996,N29158
serenity,0.703,acceptance,0.4864,0.0,0.23199999999999998,0.1605,0.0,N52925
rage,0.8393999999999999,loathing,0.2515,-0.659,-0.937,-0.743,-0.659,N64353
fear,0.4106,dislike,0.4545,0.0,0.0,-0.15,-0.46549999999999997,N35608
ecstasy,0.6098,delight,0.3803,0.8613,0.0,0.7855,0.0,N14568
ecstasy,0.8402,delight,0.40979999999999994,0.9373,0.0,0.7953,0.0,N897
grief,0.9242,disgust,0.7726999999999999,-0.965,0.0,-0.585,0.0,N23793
grief,0.9848,terror,0.5711999999999999,-0.985,0.0,-0.8170000000000001,-0.8484999999999999,N6400
ecstasy,0.7924,delight,0.2879,0.9215000000000001,0.0,0.755,0.0,N39097
grief,0.6667000000000001,loathing,0.33030000000000004,-0.88,0.0,-0.769,0.0,N44342
loathing,0.8726999999999999,rage,0.3909,-0.499,-0.789,-0.948,-0.43200000000000005,N54988
ecstasy,0.7454999999999999,bliss,0.3515,0.9059999999999999,0.7759999999999999,0.642,0.0,N57637
ecstasy,0.5697,bliss,0.4242,0.848,0.8,0.32899999999999996,0.7490000000000001,N50758
loathing,0.49090000000000006,grief,0.2364,-0.738,0.0,-0.8220000000000001,-0.6934999999999999,N54476
ecstasy,0.8508,delight,0.2515,0.9407,0.0,0.743,0.7295,N24457
dislike,0.997,annoyance,0.8332999999999999,0.0,-0.275,-0.32899999999999996,-0.23399999999999999,N56318
enthusiasm,0.9576,bliss,0.2576,0.71,0.745,0.62,0.976,N19056
ecstasy,0.9538,,,0.9748,0.768,0.769,0.9990000000000001,N17449
enthusiasm,0.6136,,,0.0,0.0,0.0,0.8625,N3353
grief,0.5394,disgust,0.7204999999999999,-0.838,-0.46,-0.5678,0.0,N43076
ecstasy,0.7879,pleasantness,0.8364,0.92,0.0,0.606,0.0,N63471
pleasantness,0.3091,,,0.0,0.183,0.43200000000000005,0.995,N14876
loathing,0.4788,grief,0.2182,-0.732,0.0,-0.818,-0.33149999999999996,N29453
enthusiasm,0.8303,ecstasy,0.7045,0.8925,0.0,0.7946,0.934,N48429
ecstasy,0.8513,eagerness,0.5212,0.9409000000000001,0.204,0.4169,0.502,N20922
grief,0.9909,dislike,0.5182,-0.987,0.0,-0.171,0.0,N47539
grief,0.8576,disgust,0.903,-0.943,0.0,-0.628,0.0,N14696
rage,0.9879000000000001,grief,0.5939,-0.856,-0.986,-0.8140000000000001,-0.8009999999999999,N7296
pleasantness,0.1727,serenity,0.8848,0.0,0.292,0.387,0.0,N57894
enthusiasm,0.7333,pleasantness,0.4545,0.303,0.0,0.48,0.902,N55625
terror,0.6606000000000001,,,0.0,0.0,0.0,-0.878,N33549
ecstasy,0.9484999999999999,delight,0.4576,0.973,0.0,0.8109999999999999,0.0,N18245
grief,0.9484999999999999,dislike,0.7152,-0.973,0.0,-0.23600000000000002,0.0,N46826
ecstasy,0.797,delight,0.47119999999999995,0.9229999999999999,0.0,0.8155,0.0,N26915
enthusiasm,0.8273,ecstasy,0.49700000000000005,0.8240000000000001,0.0,0.8205,0.9329999999999999,N7293
ecstasy,0.49700000000000005,delight,0.4182,0.8240000000000001,0.0,0.7979999999999999,0.0,N2679
pleasantness,0.997,,,0.0,0.0,0.659,0.659,N14343
ecstasy,0.6212,delight,0.3273,0.865,0.0,0.768,0.0,N60241
ecstasy,0.7515000000000001,delight,0.2667,0.9079999999999999,0.0,0.748,0.0,N26326
ecstasy,0.8423999999999999,bliss,0.7909,0.938,0.9209999999999999,0.611,0.32899999999999996,N2334
pleasantness,0.7394,,,0.0,0.0,0.574,0.0,N49753
ecstasy,0.6515000000000001,enthusiasm,0.3515,0.875,0.0,0.0,0.7759999999999999,N21540
ecstasy,0.8758,delight,0.3273,0.9490000000000001,0.0,0.768,0.7375,N28403
rage,0.9333,terror,0.6667000000000001,-0.851,-0.968,-0.755,-0.88,N13304
rage,0.8120999999999999,terror,0.09699999999999999,-0.18899999999999997,-0.9279999999999999,-0.3225,-0.6920000000000001,N54444
responsiveness,0.6636,,,0.0,0.0,0.0,0.21899999999999997,N918
ecstasy,0.9106000000000001,delight,0.36060000000000003,0.9605,0.0,0.779,0.0,N38843
delight,0.5697,,,0.0,0.0,0.848,0.0,N1334
enthusiasm,0.5455,ecstasy,0.5091,0.828,0.0,0.0,0.84,N957
ecstasy,0.7091,pleasantness,0.5545,0.894,0.0,0.513,0.0,N10370
ecstasy,0.9909,enthusiasm,0.4576,0.987,0.0,0.8025,0.8109999999999999,N16850
grief,0.597,loathing,0.3061,-0.857,0.0,-0.7609999999999999,-0.2625,N42662
ecstasy,0.7004,enthusiasm,0.49920000000000003,0.8911,0.0,0.769,0.8248000000000001,N8528
enthusiasm,0.7484999999999999,ecstasy,0.5818,0.852,0.7609999999999999,0.525,0.907,N4719
delight,0.38789999999999997,joy,0.8931999999999999,0.6247,0.0,0.7879999999999999,0.45899999999999996,N46339
delight,0.0545,,,0.0,0.0,0.6779999999999999,0.0,N56524
loathing,0.40909999999999996,grief,0.3576,-0.778,0.0,-0.795,-0.469,N38324
enthusiasm,0.6848000000000001,bliss,0.6273,0.0,0.867,0.816,0.8859999999999999,N61722
grief,0.8212,terror,0.0545,-0.9309999999999999,0.0,0.0,-0.6779999999999999,N43427
rage,0.9758,loathing,0.2576,0.0,-0.982,-0.745,-0.5872999999999999,N36276
ecstasy,0.7,delight,0.36060000000000003,0.8909999999999999,0.17600000000000002,0.779,0.0,N22996
ecstasy,0.8288,enthusiasm,0.4,0.9335,0.32299999999999995,0.133,0.792,N34071
delight,0.33640000000000003,,,0.9940000000000001,0.294,0.7709999999999999,0.0,N7141
ecstasy,0.8606,calmness,0.6076,0.9440000000000001,0.5305,0.125,0.0,N41665
ecstasy,0.47729999999999995,bliss,0.3515,0.8175,0.7759999999999999,0.775,0.0,N42789
dislike,0.997,,,0.0,0.0,-0.32899999999999996,0.0,N56612
ecstasy,0.6333,enthusiasm,0.46520000000000006,0.8690000000000001,0.0,0.7935,0.8134999999999999,N23059
grief,0.8939,loathing,0.3848,-0.955,0.0,-0.787,0.0,N53179
grief,0.5333,annoyance,0.9120999999999999,-0.836,-0.301,0.0,0.0,N59636
ecstasy,0.6227,responsiveness,0.4939,0.8654999999999999,0.0,0.0,0.163,N23684
ecstasy,0.7864,delight,0.1909,0.9195,0.659,0.723,0.0,N59991
rage,0.9333,melancholy,0.6515000000000001,-0.215,-0.968,0.0,-0.094,N60082
terror,0.6455,disgust,0.9273,-0.507,0.0,-0.636,-0.873,N40994
loathing,0.5606,sadness,0.703,-0.562,0.0,-0.845,-0.489,N16614
